iter	Passed	Remaining
0	20	20151
1	38	19389
2	50	16850
3	65	16371
4	74	14827
5	87	14489
6	104	14847
7	118	14651
8	130	14340
9	148	14738
10	164	14789
11	180	14861
12	198	15090
13	213	15019
14	229	15045
15	245	15087
16	261	15106
17	277	15120
18	283	14614
19	297	14589
20	311	14527
21	326	14535
22	343	14593
23	360	14669
24	369	14393
25	377	14131
26	393	14169
27	399	13867
28	414	13875
29	430	13906
30	447	13978
31	458	13879
32	477	13998
33	496	14096
34	515	14220
35	536	14377
36	555	14463
37	572	14481
38	588	14513
39	602	14459
40	618	14463
41	634	14480
42	650	14482
43	668	14534
44	685	14553
45	702	14567
46	722	14641
47	738	14648
48	755	14653
49	771	14656
50	800	14894
51	817	14907
52	829	14822
53	846	14830
54	854	14677
55	878	14809
56	921	15237
57	942	15307
58	960	15320
59	977	15308
60	993	15292
61	1010	15288
62	1044	15535
63	1056	15454
64	1074	15451
65	1093	15474
66	1110	15461
67	1127	15451
68	1144	15442
69	1162	15440
70	1177	15409
71	1194	15391
72	1212	15397
73	1230	15396
74	1252	15443
75	1273	15481
76	1283	15390
77	1301	15384
78	1319	15388
79	1338	15396
80	1356	15388
81	1389	15552
82	1406	15534
83	1422	15514
84	1439	15499
85	1456	15477
86	1472	15453
87	1489	15432
88	1505	15413
89	1522	15396
90	1539	15373
91	1558	15380
92	1575	15361
93	1584	15269
94	1600	15248
95	1607	15133
96	1623	15109
97	1639	15090
98	1655	15068
99	1672	15053
100	1676	14922
101	1693	14905
102	1709	14887
103	1721	14832
104	1727	14726
105	1738	14660
106	1749	14598
107	1765	14585
108	1784	14586
109	1802	14586
110	1821	14586
111	1838	14579
112	1858	14589
113	1877	14592
114	1904	14653
115	1923	14659
116	1941	14651
117	1959	14647
118	1977	14638
119	1995	14630
120	2012	14616
121	2023	14559
122	2040	14546
123	2051	14491
124	2067	14470
125	2083	14453
126	2101	14448
127	2121	14453
128	2139	14446
129	2150	14389
130	2169	14390
131	2190	14402
132	2209	14402
133	2228	14398
134	2250	14419
135	2281	14493
136	2302	14502
137	2321	14499
138	2332	14448
139	2353	14455
140	2375	14475
141	2396	14478
142	2417	14485
143	2438	14494
144	2460	14506
145	2481	14514
146	2500	14511
147	2521	14514
148	2541	14518
149	2546	14428
150	2566	14431
151	2585	14425
152	2605	14423
153	2624	14420
154	2643	14410
155	2661	14397
156	2679	14386
157	2696	14369
158	2714	14357
159	2732	14343
160	2750	14335
161	2770	14331
162	2789	14325
163	2808	14316
164	2827	14307
165	2844	14291
166	2863	14282
167	2881	14271
168	2902	14272
169	2915	14233
170	2934	14225
171	2939	14148
172	2956	14134
173	2975	14125
174	2994	14116
175	3014	14112
176	3036	14116
177	3051	14089
178	3069	14077
179	3086	14061
180	3104	14048
181	3121	14029
182	3140	14022
183	3149	13968
184	3167	13952
185	3184	13937
186	3203	13929
187	3225	13932
188	3246	13930
189	3268	13935
190	3288	13928
191	3309	13929
192	3328	13917
193	3347	13909
194	3367	13901
195	3385	13886
196	3404	13877
197	3414	13828
198	3426	13792
199	3446	13785
200	3465	13775
201	3483	13760
202	3504	13757
203	3523	13747
204	3542	13739
205	3560	13724
206	3581	13718
207	3600	13708
208	3619	13697
209	3629	13654
210	3648	13641
211	3667	13632
212	3687	13625
213	3694	13568
214	3711	13552
215	3729	13537
216	3748	13526
217	3755	13471
218	3774	13460
219	3793	13450
220	3811	13434
221	3831	13426
222	3853	13425
223	3874	13422
224	3892	13407
225	3912	13399
226	3930	13385
227	3950	13377
228	3969	13365
229	3985	13344
230	4003	13326
231	4020	13308
232	4039	13297
233	4059	13288
234	4091	13319
235	4109	13302
236	4125	13282
237	4138	13251
238	4155	13230
239	4166	13194
240	4184	13177
241	4202	13163
242	4221	13151
243	4243	13147
244	4267	13150
245	4285	13134
246	4305	13124
247	4325	13115
248	4344	13104
249	4364	13092
250	4383	13079
251	4404	13074
252	4423	13061
253	4441	13045
254	4463	13039
255	4479	13019
256	4492	12987
257	4509	12968
258	4528	12954
259	4548	12945
260	4566	12928
261	4584	12914
262	4603	12900
263	4622	12887
264	4640	12870
265	4659	12856
266	4677	12842
267	4697	12831
268	4718	12821
269	4735	12803
270	4754	12790
271	4772	12773
272	4791	12759
273	4809	12744
274	4827	12727
275	4850	12724
276	4869	12709
277	4890	12702
278	4911	12691
279	4929	12675
280	4947	12660
281	4966	12644
282	4985	12632
283	5006	12621
284	5023	12601
285	5043	12591
286	5063	12580
287	5082	12565
288	5101	12550
289	5119	12534
290	5140	12523
291	5158	12507
292	5176	12491
293	5194	12473
294	5214	12460
295	5233	12446
296	5253	12434
297	5275	12427
298	5294	12413
299	5314	12399
300	5331	12381
301	5350	12366
302	5369	12352
303	5389	12339
304	5408	12323
305	5425	12305
306	5444	12290
307	5464	12277
308	5483	12261
309	5501	12245
310	5524	12238
311	5544	12227
312	5566	12216
313	5584	12201
314	5603	12185
315	5621	12168
316	5639	12151
317	5660	12140
318	5680	12125
319	5700	12114
320	5722	12104
321	5742	12090
322	5763	12080
323	5784	12069
324	5805	12058
325	5827	12047
326	5848	12037
327	5870	12027
328	5891	12016
329	5912	12004
330	5935	11996
331	5956	11985
332	5976	11970
333	5999	11962
334	6018	11946
335	6039	11935
336	6060	11922
337	6083	11914
338	6106	11906
339	6124	11888
340	6143	11872
341	6161	11855
342	6179	11836
343	6199	11821
344	6218	11807
345	6241	11797
346	6263	11787
347	6285	11776
348	6309	11769
349	6331	11758
350	6351	11743
351	6375	11736
352	6397	11726
353	6417	11710
354	6437	11696
355	6456	11679
356	6477	11665
357	6494	11646
358	6513	11630
359	6534	11616
360	6555	11603
361	6577	11593
362	6597	11578
363	6617	11562
364	6637	11547
365	6656	11530
366	6676	11515
367	6695	11499
368	6714	11481
369	6733	11465
370	6751	11447
371	6773	11434
372	6791	11416
373	6810	11399
374	6829	11381
375	6853	11373
376	6871	11355
377	6889	11337
378	6908	11319
379	6925	11300
380	6943	11280
381	6963	11265
382	6981	11247
383	7003	11234
384	7023	11218
385	7042	11201
386	7062	11186
387	7082	11170
388	7117	11179
389	7141	11169
390	7162	11155
391	7180	11136
392	7202	11124
393	7223	11110
394	7245	11098
395	7268	11086
396	7288	11069
397	7309	11055
398	7328	11038
399	7357	11036
400	7377	11020
401	7396	11002
402	7418	10989
403	7438	10974
404	7457	10955
405	7476	10938
406	7495	10921
407	7515	10905
408	7535	10888
409	7556	10874
410	7577	10858
411	7598	10844
412	7617	10827
413	7638	10811
414	7659	10796
415	7679	10780
416	7700	10766
417	7729	10762
418	7760	10760
419	7779	10743
420	7798	10725
421	7819	10709
422	7839	10693
423	7860	10678
424	7878	10659
425	7896	10640
426	7914	10620
427	7932	10602
428	7954	10586
429	7972	10568
430	7992	10551
431	8011	10533
432	8028	10513
433	8047	10495
434	8066	10476
435	8112	10493
436	8129	10473
437	8148	10455
438	8165	10434
439	8183	10415
440	8202	10396
441	8219	10376
442	8236	10356
443	8255	10338
444	8276	10322
445	8304	10315
446	8327	10301
447	8348	10286
448	8367	10268
449	8389	10254
450	8411	10238
451	8430	10221
452	8454	10208
453	8473	10190
454	8495	10175
455	8514	10158
456	8546	10154
457	8571	10143
458	8594	10129
459	8616	10115
460	8633	10094
461	8652	10076
462	8670	10056
463	8688	10036
464	8705	10016
465	8723	9996
466	8740	9975
467	8759	9957
468	8777	9937
469	8794	9916
470	8811	9896
471	8828	9875
472	8846	9856
473	8869	9842
474	8885	9820
475	8902	9800
476	8920	9781
477	8938	9760
478	8956	9741
479	8972	9720
480	8988	9698
481	9006	9678
482	9025	9660
483	9043	9641
484	9061	9621
485	9078	9601
486	9116	9603
487	9133	9582
488	9150	9562
489	9170	9544
490	9191	9528
491	9208	9507
492	9226	9488
493	9244	9468
494	9262	9449
495	9280	9430
496	9301	9413
497	9320	9395
498	9338	9375
499	9357	9357
500	9376	9339
501	9397	9322
502	9414	9301
503	9432	9282
504	9449	9262
505	9467	9242
506	9484	9222
507	9502	9203
508	9520	9184
509	9537	9163
510	9556	9144
511	9572	9124
512	9589	9103
513	9605	9082
514	9623	9063
515	9641	9043
516	9662	9026
517	9679	9007
518	9696	8986
519	9714	8967
520	9731	8946
521	9747	8926
522	9765	8906
523	9781	8885
524	9798	8865
525	9818	8847
526	9835	8827
527	9853	8808
528	9876	8793
529	9893	8773
530	9909	8752
531	9926	8731
532	9942	8711
533	9961	8692
534	9979	8673
535	9995	8653
536	10012	8632
537	10028	8611
538	10043	8590
539	10061	8570
540	10078	8551
541	10094	8530
542	10110	8509
543	10127	8488
544	10143	8468
545	10163	8450
546	10184	8434
547	10201	8414
548	10216	8393
549	10232	8371
550	10250	8352
551	10267	8333
552	10286	8314
553	10303	8294
554	10319	8274
555	10336	8254
556	10353	8234
557	10369	8213
558	10386	8194
559	10402	8173
560	10420	8154
561	10435	8133
562	10454	8114
563	10470	8094
564	10488	8074
565	10504	8054
566	10521	8034
567	10538	8014
568	10553	7994
569	10571	7974
570	10586	7954
571	10604	7935
572	10621	7914
573	10637	7894
574	10654	7874
575	10671	7855
576	10688	7835
577	10705	7816
578	10722	7796
579	10738	7776
580	10755	7756
581	10771	7736
582	10787	7715
583	10804	7696
584	10820	7675
585	10845	7662
586	10862	7642
587	10877	7621
588	10893	7601
589	10909	7581
590	10925	7561
591	10941	7541
592	10958	7521
593	10975	7501
594	10991	7481
595	11008	7462
596	11024	7441
597	11040	7422
598	11058	7402
599	11075	7383
600	11094	7365
601	11112	7346
602	11131	7328
603	11149	7309
604	11168	7291
605	11184	7271
606	11201	7252
607	11218	7233
608	11236	7214
609	11257	7197
610	11274	7178
611	11293	7160
612	11310	7140
613	11327	7121
614	11344	7101
615	11362	7082
616	11379	7063
617	11395	7043
618	11412	7024
619	11429	7005
620	11446	6985
621	11462	6965
622	11480	6947
623	11497	6928
624	11514	6908
625	11531	6889
626	11547	6869
627	11563	6849
628	11583	6831
629	11600	6813
630	11618	6794
631	11636	6775
632	11650	6754
633	11666	6734
634	11684	6716
635	11702	6697
636	11718	6677
637	11742	6662
638	11759	6643
639	11776	6624
640	11793	6604
641	11809	6585
642	11825	6565
643	11848	6549
644	11864	6530
645	11885	6513
646	11903	6494
647	11919	6475
648	11935	6454
649	11950	6435
650	11967	6415
651	11983	6396
652	12000	6376
653	12016	6357
654	12032	6337
655	12049	6318
656	12063	6298
657	12079	6278
658	12098	6260
659	12116	6241
660	12138	6225
661	12157	6207
662	12177	6189
663	12196	6171
664	12213	6152
665	12229	6133
