iter	Logloss
257	0.160834139
258	0.1606814385
259	0.1606768562
260	0.1605299462
261	0.1604926125
262	0.16032019472263	0.16024053626264	0.16011473026265	0.15984538926266	0.15974767326267	0.15956084426268	0.1593920226269	0.15925710727270	0.15917797627271	0.15911555127272	0.15900602127273	0.15884822927274	0.15877025427275	0.15866297127276	0.15857613627277	0.158515994278	0.1592920457
279	0.1591627222
280	0.1590386996
281	0.1589596431
282	0.1587091151
283	0.1585300025
284	0.1583714586
285	0.158215484
286	0.1581628961
287	0.158098897
288	0.1579668037
289	0.1578824925
290	0.1577854272
291	0.1576235576
292292	0.15650742293293	0.15638024294	0.1572677029
29295	0.15591617929296	0.15583708629297	0.15568965629298	0.155576004299	0.1566937789
300	0.1565789621
301	0.1565240582
302	0.1565148738
3303	0.1549060864304	0.1562509888
3305	0.15473504553306	0.15466550973307	0.15459971233308	0.15443783863309	0.15432805331310	0.1541629353311	0.15397218031312	0.153896499313	0.1549171391
314	0.1548146662
315	0.1547537319
316	0.1546768688
317	0.1546295236
318	0.1545645482
319	0.1544329498
320	0.15429779443321	0.15420030813322	0.15409575423323	0.15400386243324	0.15374068723325	0.15364635553326	0.15359513573327	0.15355928423328	0.153504299329	0.1519887001
330	0.1518926696
331	0.1517443955
332	0.1516785001
333	0.1515885805
334	0.1514774347
335	0.1513626292
336	0.1512022398
337	0.1510384397
338	0.1509643647
339	0.1508758198
340	0.1508029497
34341	0.151763193342	0.1504798416
343	0.1503717466
34344	0.15140829345	0.1502177389
346	0.1501484409
347	0.1500036419
348	0.1499109055
349349	0.15050518350	0.1497504578
35351	0.1501087323352	0.15001510823353	0.1498152305354	0.1492301068
355	0.1491297844
356	0.1490114428
357	0.1489027606
358	0.1488183825
359	0.1486776684
360	0.1486027418
361	0.1484361914
362	0.1482744496
363	0.1481458153
364	0.1479972551
365	0.1479933476
366	0.1479417033
367	0.1476519059
368	0.147463616
3369	0.1472183301370	0.1471461192
371	0.1471058863
372	0.1469643908
373	0.1468991997
374	0.146802553
375	0.1467368001
376	0.146663693
377	0.1466230614
378	0.1464377809
379	0.146356434
380	0.1462613754
381	0.1459874176
382	0.1458992753
383	0.1458539259
384	0.1457446156
385	0.1456490369
386	0.145324582
387	0.1452146924
388	0.1451086441
389	0.1450359856
390	0.144989289
391	0.1449340191
392	0.144835824
393	0.1446983246
394	0.1446539297
395	0.144506755
396	0.1444803627
397	0.1443532486
398	0.1442773684
399	0.144228698
400	0.1441281407
401	0.143971138
402	0.1438437243
403	0.1438180763
404	0.1436794797
405	0.1436127181
406	0.1435366202
407	0.143378916
408	0.1433126879
409	0.1431313979
410	0.1429452038
411	0.1428914027
412	0.1427613059
413	0.1427233012
414	0.1426818173
415	0.1426411945
416	0.1425697652
417	0.1424043981
418	0.1423534245
419	0.1423156226
420	0.1422533142
421	0.1419916508
422	0.1417194582
423	0.1416925429
424	0.1416173349
425	0.1414993433
426	0.1413324278
427	0.1411349453
428	0.1409831491
429	0.1409032814
430	0.1408028814
431	0.1406525889
432	0.1405615756
433	0.1404865497
434	0.1403652445
435	0.1401171788
436	0.1400335899
437	0.1400189935
438	0.1400029762
439	0.1398680313
440	0.1397964094
441	0.139719276
442	0.1395905603
443	0.1395594071
444	0.1394927896
445	0.1394310319
446	0.1393475538
447	0.1392467277
448	0.1391999802
449	0.139052551
450	0.1389759021
451	0.1388397799
452	0.1387871292
453	0.1387342705
454	0.1386086694
455	0.1385338773
456	0.1383117452
457	0.1381676916
458	0.1380906815
459	0.1379611264
460	0.1378590587
461	0.1377145808
462	0.1376864175
463	0.1375968808
464	0.1375500185
465	0.1374656373
466	0.1374448044
467	0.1373666213
468	0.137221318
469	0.137070515
470	0.137025688
471	0.1369521015
472	0.1368781083
473	0.1368006688
474	0.1365930391
475	0.1365031899
476	0.1362826489
477	0.1361786189
478	0.1361109649
479	0.1360286415
480	0.1359393482
481	0.1358448241
482	0.1356862439
483	0.1355270184
484	0.1353772683
485	0.1352768323
486	0.1350826487
487	0.1349255892
488	0.1348834504
489	0.1348135129
490	0.1346733092
491	0.1346028334
492	0.1345115396
493	0.13439876
494	0.1342125513
495	0.1341650622
496	0.1340397604
497	0.1338396211
498	0.1337607678
499	0.1337280684
716
