iter	Passed	Remaining
0	16	16343
1	35	17603
2	51	16957
3	62	15440
4	77	15355
5	94	15713
6	111	15790
7	129	15997
8	146	16085
9	152	15141
10	169	15284
11	188	15502
12	205	15627
13	215	15146
14	233	15355
15	242	14913
16	258	14957
17	273	14931
18	291	15026
19	308	15118
20	324	15126
21	341	15174
22	358	15213
23	377	15340
24	397	15488
25	415	15563
26	433	15627
27	450	15624
28	456	15278
29	471	15244
30	488	15274
31	497	15056
32	513	15044
33	528	15025
34	544	15024
35	562	15073
36	579	15094
37	600	15212
38	616	15195
39	634	15224
40	650	15216
41	666	15195
42	682	15196
43	698	15183
44	716	15212
45	732	15201
46	739	14999
47	756	15000
48	774	15026
49	803	15264
50	821	15293
51	839	15297
52	857	15313
53	873	15300
54	890	15302
55	906	15277
56	943	15614
57	953	15490
58	970	15477
59	985	15447
60	1003	15447
61	1022	15462
62	1038	15448
63	1055	15438
64	1072	15421
65	1087	15391
66	1105	15387
67	1120	15363
68	1137	15344
69	1143	15189
70	1159	15167
71	1175	15144
72	1190	15119
73	1207	15113
74	1231	15187
75	1249	15189
76	1265	15174
77	1282	15156
78	1289	15028
79	1306	15023
80	1324	15022
81	1340	15002
82	1356	14991
83	1374	14989
84	1393	14998
85	1411	14997
86	1427	14983
87	1444	14967
88	1460	14947
89	1476	14925
90	1494	14925
91	1510	14903
92	1524	14871
93	1541	14860
94	1558	14845
95	1574	14826
96	1581	14724
97	1600	14729
98	1618	14728
99	1634	14712
100	1650	14690
101	1666	14672
102	1670	14547
103	1686	14526
104	1694	14444
105	1705	14387
106	1721	14366
107	1737	14353
108	1755	14353
109	1771	14336
110	1788	14323
111	1805	14315
112	1822	14308
113	1838	14291
114	1853	14266
115	1870	14253
116	1886	14235
117	1889	14126
118	1905	14110
119	1944	14262
120	1962	14254
121	1978	14237
122	1993	14216
123	2012	14214
124	2028	14199
125	2044	14180
126	2060	14163
127	2076	14143
128	2092	14126
129	2098	14043
130	2113	14022
131	2125	13976
132	2142	13963
133	2159	13953
134	2175	13938
135	2191	13922
136	2204	13885
137	2221	13877
138	2237	13859
139	2253	13844
140	2270	13831
141	2286	13818
142	2303	13802
143	2312	13746
144	2329	13735
145	2344	13716
146	2351	13643
147	2367	13630
148	2387	13637
149	2404	13627
150	2423	13624
151	2438	13605
152	2458	13607
153	2474	13593
154	2489	13574
155	2505	13555
156	2521	13541
157	2532	13497
158	2560	13544
159	2578	13538
160	2595	13523
161	2611	13510
162	2628	13495
163	2634	13429
164	2649	13407
165	2665	13390
166	2681	13374
167	2697	13357
168	2712	13339
169	2728	13320
170	2736	13267
171	2751	13246
172	2767	13229
173	2784	13217
174	2809	13246
175	2827	13237
176	2844	13224
177	2860	13208
178	2868	13158
179	2877	13106
180	2892	13086
181	2909	13075
182	2950	13174
183	2969	13167
184	2987	13160
185	3003	13146
186	3021	13135
187	3037	13118
188	3054	13107
189	3065	13069
190	3080	13047
191	3096	13031
192	3103	12975
193	3120	12963
194	3153	13016
195	3176	13028
196	3195	13025
197	3203	12973
198	3219	12958
199	3235	12940
200	3248	12913
