iter	Passed	Remaining
406	6477	9437
407	6493	9421
408	6508	9404
409	6525	9389
410	6540	9373
411	6556	9356
412	6571	9340
413	6587	9324
414	6603	9309
415	6620	9294
416	6636	9278
417	6652	9262
418	6667	9245
419	6684	9231
420	6700	9214
421	6725	9211
422	6740	9195
423	6756	9178
424	6771	9161
425	6787	9145
426	6803	9129
427	6821	9116
428	6837	9100
429	6853	9084
430	6868	9068
431	6884	9052
432	6905	9041
433	6922	9027
434	6938	9011
435	6953	8994
436	6968	8978
437	6985	8963
438	7001	8947
439	7019	8933
440	7035	8917
441	7050	8901
442	7066	8885
443	7082	8868
444	7097	8852
445	7112	8835
446	7129	8820
447	7145	8804
448	7161	8787
449	7176	8771
450	7198	8763
451	7215	8747
452	7233	8734
453	7249	8718
454	7264	8701
455	7281	8686
456	7296	8669
457	7312	8653
458	7330	8640
459	7346	8624
460	7362	8608
461	7377	8591
462	7393	8574
463	7408	8558
464	7429	8547
465	7449	8536
466	7465	8520
467	7480	8504
468	7497	8488
469	7513	8472
470	7529	8456
471	7545	8440
472	7560	8423
473	7576	8407
474	7592	8391
475	7607	8374
476	7623	8359
477	7640	8344
478	7656	8328
479	7672	8311
480	7687	8294
481	7702	8278
482	7719	8262
483	7735	8246
484	7750	8230
485	7765	8213
486	7782	8197
487	7797	8181
488	7813	8164
489	7829	8148
490	7846	8134
491	7862	8118
492	7878	8102
493	7894	8085
494	7916	8076
495	7934	8061
496	7950	8046
497	7965	8029
498	7981	8013
499	7996	7996
500	8012	7980
501	8029	7965
502	8046	7950
503	8062	7934
504	8078	7918
505	8094	7902
506	8109	7885
507	8124	7868
508	8141	7853
509	8157	7837
510	8173	7821
511	8189	7805
512	8204	7788
513	8220	7772
514	8236	7756
515	8251	7740
516	8269	7725
517	8284	7708
518	8300	7693
519	8317	7677
520	8337	7665
521	8360	7655
522	8376	7639
523	8400	7630
524	8417	7615
525	8435	7601
526	8452	7586
527	8469	7571
528	8485	7554
529	8500	7538
530	8516	7522
531	8532	7506
532	8548	7489
533	8563	7473
534	8579	7457
535	8595	7440
536	8611	7424
537	8626	7408
538	8642	7391
539	8658	7375
540	8676	7361
541	8691	7344
542	8707	7328
543	8722	7311
544	8738	7295
545	8754	7279
546	8770	7263
547	8785	7246
548	8801	7230
549	8817	7214
550	8834	7199
551	8851	7183
552	8866	7167
553	8883	7151
554	8899	7135
555	8921	7124
556	8937	7108
557	8952	7091
558	8968	7075
559	8984	7059
560	9000	7043
561	9015	7026
562	9031	7010
563	9048	6994
564	9065	6979
565	9080	6962
566	9096	6946
567	9112	6930
568	9127	6913
569	9144	6898
570	9159	6881
571	9175	6865
572	9190	6848
573	9205	6832
574	9221	6816
575	9237	6799
576	9253	6783
577	9270	6768
578	9285	6751
579	9301	6735
580	9317	6719
581	9334	6703
582	9351	6688
583	9368	6673
584	9384	6657
585	9401	6641
586	9417	6626
587	9434	6610
588	9450	6594
589	9466	6578
590	9482	6562
591	9497	6545
592	9514	6529
593	9529	6513
594	9546	6497
595	9561	6481
596	9577	6464
597	9592	6448
598	9607	6432
599	9624	6416
600	9640	6399
601	9656	6383
602	9673	6368
603	9689	6352
604	9705	6336
605	9721	6320
606	9737	6304
607	9753	6288
608	9768	6271
609	9784	6255
610	9800	6239
611	9816	6223
612	9832	6207
613	9849	6191
614	9866	6176
615	9884	6161
616	9900	6145
617	9922	6133
618	9938	6117
619	9955	6101
620	9971	6085
621	9986	6069
622	10002	6052
623	10018	6036
624	10033	6020
625	10049	6003
626	10065	5988
627	10084	5973
628	10099	5957
629	10115	5940
630	10131	5924
631	10146	5908
632	10163	5892
633	10178	5875
634	10194	5859
635	10209	5843
636	10225	5826
637	10241	5810
638	10257	5795
639	10274	5779
640	10290	5763
641	10306	5747
642	10322	5731
643	10339	5715
644	10356	5700
645	10372	5684
646	10388	5668
647	10406	5653
648	10423	5637
649	10438	5620
650	10454	5604
651	10470	5588
652	10487	5573
653	10503	5556
654	10518	5540
655	10533	5523
656	10549	5507
657	10566	5491
658	10581	5475
659	10597	5459
660	10613	5443
661	10628	5426
662	10643	5410
663	10660	5394
