iter	Passed	Remaining
406	6953	10130
407	6970	10113
408	6988	10098
409	7004	10080
410	7020	10061
411	7039	10046
412	7058	10032
413	7075	10015
414	7092	9998
415	7110	9981
416	7126	9963
417	7145	9948
418	7161	9931
419	7179	9914
420	7196	9897
421	7213	9879
422	7228	9860
423	7246	9844
424	7263	9826
425	7279	9808
426	7299	9795
427	7316	9778
428	7333	9760
429	7349	9741
430	7365	9723
431	7382	9706
432	7402	9693
433	7419	9676
434	7438	9661
435	7456	9644
436	7472	9627
437	7488	9608
438	7504	9589
439	7520	9571
440	7538	9555
441	7556	9539
442	7575	9524
443	7593	9508
444	7610	9491
445	7644	9495
446	7664	9482
447	7681	9464
448	7697	9445
449	7713	9428
450	7730	9410
451	7748	9393
452	7782	9397
453	7801	9382
454	7819	9365
455	7835	9347
456	7852	9329
457	7869	9313
458	7886	9295
459	7903	9277
460	7918	9258
461	7937	9242
462	7953	9225
463	7971	9208
464	7988	9190
465	8006	9175
466	8032	9167
467	8049	9150
468	8069	9136
469	8087	9119
470	8103	9101
471	8119	9082
472	8136	9065
473	8153	9047
474	8172	9032
475	8191	9017
476	8207	8999
477	8226	8983
478	8242	8965
479	8259	8948
480	8276	8930
481	8292	8912
482	8308	8893
483	8325	8876
484	8341	8857
485	8358	8839
486	8375	8822
487	8392	8804
488	8409	8788
489	8428	8772
490	8445	8755
491	8464	8739
492	8482	8723
493	8498	8704
494	8514	8686
495	8531	8668
496	8547	8650
497	8564	8633
498	8581	8615
499	8597	8597
500	8616	8582
501	8654	8586
502	8675	8571
503	8692	8554
504	8709	8536
505	8726	8519
506	8743	8501
507	8763	8487
508	8779	8469
509	8797	8452
510	8813	8434
511	8832	8418
512	8848	8400
513	8865	8382
514	8882	8364
515	8899	8347
516	8917	8331
517	8934	8313
518	8949	8294
519	8966	8276
520	8984	8260
521	9001	8242
522	9017	8224
523	9036	8208
524	9053	8191
525	9070	8173
526	9089	8158
527	9106	8141
528	9122	8122
529	9139	8104
530	9155	8086
531	9172	8068
532	9187	8049
533	9204	8032
534	9221	8015
535	9241	7999
536	9256	7980
537	9274	7964
538	9289	7945
539	9306	7927
540	9322	7909
541	9338	7891
542	9354	7872
543	9371	7855
544	9386	7836
545	9402	7818
546	9420	7801
547	9438	7785
548	9454	7766
549	9471	7749
550	9486	7730
551	9506	7715
552	9522	7697
553	9538	7679
554	9554	7661
555	9571	7643
556	9589	7627
557	9607	7610
558	9627	7594
559	9645	7578
560	9678	7573
561	9695	7556
562	9712	7538
563	9729	7521
564	9745	7503
565	9765	7487
